Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Chevrolet,Tracker,2024,1.2 Ltz Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,28408900.0,$,tienda,
Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,27500900.0,$,tienda,
Chevrolet,Tracker,2022,1.2 Ltz Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,28000000.0,$,concesionaria,
Chevrolet,Tracker,2021,1.2 Ltz Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,27489900.0,$,tienda,No
